Runs,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
12.00,22,1,0,54.54,2,lbw,1,v Sri Lanka,Dambulla,18-Aug-08
37.00,67,6,0,55.22,2,caught,2,v Sri Lanka,Dambulla,20-Aug-08
25.00,38,4,0,65.78,1,run out,1,v Sri Lanka,Colombo (RPS),24-Aug-08
54.00,66,7,0,81.81,1,bowled,1,v Sri Lanka,Colombo (RPS),27-Aug-08
31.00,46,3,1,67.39,1,lbw,2,v Sri Lanka,Colombo (RPS),29-Aug-08
2.00,2,0,0,100,7,not out,1,v Sri Lanka,Colombo (RPS),14-Sep-09
30.00,41,3,0,73.17,4,caught,2,v Australia,Vadodara,25-Oct-09
10.00,16,1,0,62.5,3,caught,2,v Australia,Mohali,02-Nov-09
27.00,19,4,0,142.1,7,bowled,1,v Sri Lanka,Rajkot,15-Dec-09
54.00,65,7,0,83.07,4,lbw,1,v Sri Lanka,Nagpur,18-Dec-09
107.00,114,11,1,93.85,4,caught,2,v Sri Lanka,Kolkata,24-Dec-09
91.00,102,7,0,89.21,3,caught,2,v Bangladesh,Dhaka,07-Jan-10
102.00,95,11,0,107.36,3,not out,2,v Bangladesh,Dhaka,11-Jan-10
31.00,46,1,0,67.39,5,caught,1,v South Africa,Jaipur,21-Feb-10
57.00,71,4,1,80.28,3,caught,2,v South Africa,Ahmedabad,27-Feb-10
0.00,0,0,0,0,3,run out,1,v Zimbabwe,Bulawayo,28-May-10
18.00,29,1,0,62.06,3,caught,1,v Zimbabwe,Harare,03-Jun-10
10.00,14,1,0,71.42,3,caught,1,v Sri Lanka,Dambulla,22-Jun-10
28.00,34,4,0,82.35,3,caught,1,v Sri Lanka,Dambulla,24-Jun-10
0.00,3,0,0,0,3,caught,2,v Sri Lanka,Dambulla,16-Aug-10
37.00,57,5,0,64.91,3,caught,2,v Sri Lanka,Dambulla,28-Aug-10
118.00,121,11,1,97.52,3,caught,2,v Australia,Visakhapatnam,20-Oct-10
105.00,104,10,0,100.96,3,caught,1,v New Zealand,Guwahati,28-Nov-10
64.00,73,8,0,87.67,3,caught,2,v New Zealand,Jaipur,01-Dec-10
63.00,70,6,2,90,3,not out,2,v New Zealand,Vadodara,04-Dec-10
0.00,2,0,0,0,3,caught,2,v New Zealand,Bengaluru,07-Dec-10
2.00,8,0,0,25,3,caught,2,v New Zealand,Chennai,10-Dec-10
54.00,70,2,1,77.14,3,caught,2,v South Africa,Durban,12-Jan-11
22.00,34,1,0,64.7,3,run out,1,v South Africa,Johannesburg,15-Jan-11
28.00,41,5,0,68.29,3,caught,2,v South Africa,Cape Town,18-Jan-11
87.00,92,7,2,94.56,3,not out,2,v South Africa,Port Elizabeth,21-Jan-11
2.00,6,0,0,33.33,3,caught,2,v South Africa,Centurion,23-Jan-11
100.00,83,8,2,120.48,4,not out,1,v Bangladesh,Dhaka,19-Feb-11
34.00,53,3,0,64.15,4,run out,2,v Ireland,Bengaluru,06-Mar-11
12.00,20,2,0,60,5,bowled,2,v Netherlands,Delhi,09-Mar-11
1.00,3,0,0,33.33,7,caught,1,v South Africa,Nagpur,12-Mar-11
59.00,76,5,0,77.63,3,bowled,1,v West Indies,Chennai,20-Mar-11
24.00,33,1,0,72.72,4,caught,2,v Australia,Ahmedabad,24-Mar-11
9.00,21,0,0,42.85,4,caught,1,v Pakistan,Mohali,30-Mar-11
35.00,49,4,0,71.42,4,caught,2,v Sri Lanka,Mumbai,02-Apr-11
2.00,8,0,0,25,3,caught,2,v West Indies,Port of Spain,06-Jun-11
81.00,103,6,1,78.64,3,caught,2,v West Indies,Port of Spain,08-Jun-11
0.00,1,0,0,0,3,lbw,2,v West Indies,North Sound,11-Jun-11
22.00,33,1,0,66.66,3,stumped,2,v West Indies,North Sound,13-Jun-11
94.00,104,10,0,90.38,3,run out,1,v West Indies,Kingston,16-Jun-11
9.00,9,0,0,100,4,caught,1,v England,Southampton,06-Sep-11
7.00,18,0,0,38.88,4,caught,1,v England,The Oval,09-Sep-11
107.00,93,9,1,115.05,4,hit wicket,1,v England,Cardiff,16-Sep-11
37.00,63,0,0,58.73,4,caught,1,v England,Hyderabad (Deccan),14-Oct-11
112.00,98,16,0,114.28,4,not out,2,v England,Delhi,17-Oct-11
35.00,30,5,0,116.66,4,lbw,2,v England,Mohali,20-Oct-11
86.00,99,11,0,86.86,4,not out,2,v England,Mumbai,23-Oct-11
0.00,5,0,0,0,3,bowled,1,v England,Kolkata,25-Oct-11
3.00,6,0,0,50,4,bowled,2,v West Indies,Cuttack,29-Nov-11
117.00,123,14,0,95.12,4,caught,2,v West Indies,Visakhapatnam,02-Dec-11
20.00,30,3,0,66.66,4,lbw,2,v West Indies,Ahmedabad,05-Dec-11
23.00,11,3,0,209.09,6,not out,1,v West Indies,Indore,08-Dec-11
80.00,85,5,0,94.11,5,caught,1,v West Indies,Chennai,11-Dec-11
31.00,34,3,0,91.17,3,caught,2,v Australia,Melbourne,05-Feb-12
18.00,28,1,0,64.28,3,caught,2,v Australia,Adelaide,12-Feb-12
12.00,25,0,0,48,3,caught,2,v Australia,Brisbane,19-Feb-12
21.00,27,2,0,77.77,4,caught,2,v Australia,Sydney,26-Feb-12
66.00,82,5,0,80.48,3,bowled,1,v Bangladesh,Dhaka,16-Mar-12
106.00,113,9,0,93.8,3,caught,1,v Sri Lanka,Hambantota,21-Jul-12
1.00,5,0,0,20,3,caught,1,v Sri Lanka,Hambantota,24-Jul-12
38.00,65,2,0,58.46,3,caught,2,v Sri Lanka,Colombo (RPS),28-Jul-12
128.00,119,12,1,107.56,3,not out,2,v Sri Lanka,Colombo (RPS),31-Jul-12
23.00,35,2,0,65.71,3,lbw,1,v Sri Lanka,Pallekele,04-Aug-12
0.00,5,0,0,0,3,bowled,1,v Pakistan,Chennai,30-Dec-12
6.00,9,1,0,66.66,3,caught,2,v Pakistan,Kolkata,03-Jan-13
7.00,17,1,0,41.17,3,caught,1,v Pakistan,Delhi,06-Jan-13
15.00,22,1,0,68.18,3,caught,2,v England,Rajkot,11-Jan-13
37.00,54,1,1,68.51,3,caught,1,v England,Kochi,15-Jan-13
77.00,79,9,2,97.46,3,not out,2,v England,Ranchi,19-Jan-13
26.00,33,3,0,78.78,3,caught,2,v England,Mohali,23-Jan-13
0.00,1,0,0,0,3,caught,1,v England,Dharamsala,27-Jan-13
43.00,34,4,1,126.47,3,caught,1,v England,Birmingham,23-Jun-13
11.00,21,0,1,52.38,3,caught,1,v West Indies,Kingston,30-Jun-13
102.00,83,13,2,122.89,3,caught,1,v West Indies,Port of Spain,05-Jul-13
115.00,108,13,1,106.48,3,caught,2,v Zimbabwe,Harare,24-Jul-13
14.00,18,2,0,77.77,3,caught,1,v Zimbabwe,Harare,26-Jul-13
68.00,88,5,1,77.27,3,not out,2,v Zimbabwe,Harare,28-Jul-13
61.00,85,6,0,71.76,3,lbw,2,v Australia,Pune,13-Oct-13
100.00,52,8,7,192.3,3,not out,2,v Australia,Jaipur,16-Oct-13
68.00,73,9,0,93.15,3,caught,1,v Australia,Mohali,19-Oct-13
115.00,66,18,1,174.24,3,not out,2,v Australia,Nagpur,30-Oct-13
0.00,3,0,0,0,3,run out,1,v Australia,Bengaluru,02-Nov-13
86.00,84,9,2,102.38,3,caught,2,v West Indies,Kochi,21-Nov-13
99.00,100,9,0,99,3,caught,1,v West Indies,Visakhapatnam,24-Nov-13
19.00,18,3,0,105.55,3,caught,2,v West Indies,Kanpur,27-Nov-13
31.00,35,5,0,88.57,3,caught,2,v South Africa,Johannesburg,05-Dec-13
0.00,5,0,0,0,3,caught,2,v South Africa,Durban,08-Dec-13
123.00,111,11,2,110.81,3,caught,2,v New Zealand,Napier,19-Jan-14
78.00,65,7,2,120,3,caught,2,v New Zealand,Hamilton,22-Jan-14
2.00,10,0,0,20,2,caught,1,v New Zealand,Hamilton,28-Jan-14
82.00,78,7,3,105.12,3,caught,2,v New Zealand,Wellington,31-Jan-14
136.00,122,16,2,111.47,3,bowled,2,v Bangladesh,Fatullah,26-Feb-14
0.00,3,0,0,0,3,caught,1,v England,Cardiff,27-Aug-14
40.00,50,2,1,80,3,caught,2,v England,Nottingham,30-Aug-14
1.00,3,0,0,33.33,3,not out,2,v England,Birmingham,02-Sep-14
13.00,21,2,0,61.9,3,caught,2,v England,Leeds,05-Sep-14
2.00,5,0,0,40,3,caught,2,v West Indies,Kochi,08-Oct-14
62.00,78,5,0,79.48,4,caught,1,v West Indies,Delhi,11-Oct-14
127.00,114,13,3,111.4,3,run out,1,v West Indies,Dharamsala,17-Oct-14
22.00,21,2,0,104.76,4,caught,1,v Sri Lanka,Cuttack,02-Nov-14
49.00,44,2,2,111.36,4,caught,2,v Sri Lanka,Ahmedabad,06-Nov-14
53.00,61,4,1,86.88,4,caught,2,v Sri Lanka,Hyderabad (Deccan),09-Nov-14
66.00,64,6,0,103.12,4,run out,1,v Sri Lanka,Kolkata,13-Nov-14
139.00,126,12,3,110.31,4,not out,2,v Sri Lanka,Ranchi,16-Nov-14
9.00,16,0,0,56.25,4,caught,1,v Australia,Melbourne,18-Jan-15
1.00,13,0,0,7.69,3,caught,2,v Australia,Sydney,26-Mar-15
1.00,4,0,0,25,3,caught,2,v Bangladesh,Dhaka,18-Jun-15
23.00,27,3,1,85.18,3,lbw,1,v Bangladesh,Dhaka,21-Jun-15
25.00,35,1,0,71.42,3,bowled,1,v Bangladesh,Dhaka,24-Jun-15
11.00,18,0,0,61.11,4,caught,2,v South Africa,Kanpur,11-Oct-15
12.00,18,0,0,66.66,4,run out,1,v South Africa,Indore,14-Oct-15
77.00,99,5,0,77.77,3,caught,2,v South Africa,Rajkot,18-Oct-15
138.00,140,6,5,98.57,3,caught,1,v South Africa,Chennai,22-Oct-15
7.00,6,0,1,116.66,3,caught,2,v South Africa,Mumbai,25-Oct-15
91.00,97,9,1,93.81,3,caught,1,v Australia,Perth,12-Jan-16
59.00,67,4,0,88.05,3,run out,1,v Australia,Brisbane,15-Jan-16
117.00,117,7,2,100,3,caught,1,v Australia,Melbourne,17-Jan-16
106.00,92,11,1,115.21,3,caught,2,v Australia,Canberra,20-Jan-16
8.00,11,1,0,72.72,3,caught,2,v Australia,Sydney,23-Jan-16
85.00,81,9,1,104.93,3,not out,2,v New Zealand,Dharamsala,16-Oct-16
9.00,13,1,0,69.23,3,caught,2,v New Zealand,Delhi,20-Oct-16
154.00,134,16,1,114.92,3,not out,2,v New Zealand,Mohali,23-Oct-16
45.00,51,2,1,88.23,3,caught,2,v New Zealand,Ranchi,26-Oct-16
65.00,76,2,1,85.52,3,caught,1,v New Zealand,Visakhapatnam,29-Oct-16
122.00,105,8,5,116.19,3,caught,2,v England,Pune,15-Jan-17
8.00,5,2,0,160,3,caught,1,v England,Cuttack,19-Jan-17
55.00,63,8,0,87.3,3,caught,2,v England,Kolkata,22-Jan-17
